WOJ;POW;GMI;RODZ_GMI;RM;MZ;NAZWA;SYM;SYMPOD;STAN_NA
02;24;04;2;01;1;Rudnica;0855492;0855492;2026-01-01
02;08;14;5;01;1;Chocieszów;0855902;0855902;2026-01-01
02;08;14;5;01;1;Dolina;0855919;0855919;2026-01-01
02;09;06;2;01;1;Bobrów;0365753;0365753;2026-01-01
02;09;06;2;01;1;Głuchowice;0365776;0365776;2026-01-01
02;09;06;2;01;1;Goślinów;0365799;0365799;2026-01-01
02;09;06;2;01;1;Jezierzany;0365820;0365820;2026-01-01
02;09;06;2;01;1;Rzeszotary;0365871;0365871;2026-01-01
02;09;07;4;96;1;Prochowice;0954171;0954171;2026-01-01
02;20;01;5;01;1;Osola;0878702;0878702;2026-01-01
02;20;01;5;01;1;Paniowice;0878731;0878731;2026-01-01
02;20;01;5;01;1;Rościsławice;0878790;0878790;2026-01-01
02;24;06;5;01;1;Biernacice;0856681;0856681;2026-01-01
02;11;02;2;01;1;Szklary Górne;0365517;0365517;2026-01-01
02;20;01;4;96;1;Oborniki Śląskie;0987182;0987182;2026-01-01
02;20;01;5;01;1;Bagno;0878547;0878547;2026-01-01
02;20;01;5;01;1;Lubnów;0878642;0878642;2026-01-01
02;14;03;2;01;1;Łuczyna;0874153;0874153;2026-01-01
02;14;03;2;01;1;Siekierowice;0874242;0874242;2026-01-01
02;14;04;2;01;1;Miłowice;0197126;0197126;2026-01-01
02;14;05;5;00;1;Wiewiórka;0203625;0203619;2026-01-01
02;05;06;2;01;1;Wądroże Małe;0368326;0368326;2026-01-01
02;05;06;2;04;1;Augustów;0368349;0368349;2026-01-01
02;23;07;5;01;1;Kunów;0880082;0880082;2026-01-01
02;23;07;5;01;1;Okulice;0880136;0880136;2026-01-01
02;23;07;5;01;1;Olbrachtowice;0880142;0880142;2026-01-01
02;20;03;5;01;1;Kobylice;0881466;0881466;2026-01-01
02;20;03;5;01;1;Komorowo;0881489;0881489;2026-01-01
02;20;03;5;01;1;Księginice;0881532;0881532;2026-01-01
02;26;03;2;00;1;Rochów;0366451;0366445;2026-01-01
02;26;03;2;01;1;Wojcieszyn;0366474;0366474;2026-01-01
02;26;04;5;01;1;Rzeszówek;0192815;0192815;2026-01-01
02;13;03;5;01;1;Dunkowa;0877677;0877677;2026-01-01
02;22;02;2;01;1;Budków;0882550;0882550;2026-01-01
02;22;02;2;01;1;Dąbie;0882595;0882595;2026-01-01
02;22;02;2;01;1;Domanice;0882603;0882603;2026-01-01
02;23;02;2;01;1;Brzezia Łąka;0873685;0873685;2026-01-01
02;23;02;2;01;1;Budziwojowice;0873691;0873691;2026-01-01
02;04;01;5;01;1;Stara Góra;0370381;0370381;2026-01-01
02;04;02;2;01;1;Czeladź Mała;0370607;0370607;2026-01-01
02;04;02;2;01;1;Luboszyce Małe;0370702;0370702;2026-01-01
02;06;08;2;01;1;Marczyce;0192070;0192070;2026-01-01
02;06;08;2;01;1;Zachełmie;0192169;0192169;2026-01-01
02;06;09;2;00;1;Jaroszyce;0192318;0192301;2026-01-01
02;21;08;2;01;1;Michałkowa;0856422;0856422;2026-01-01
02;22;01;5;01;1;Pogalewo Wielkie;0873076;0873076;2026-01-01
02;22;02;2;01;1;Białawy Małe;0882448;0882448;2026-01-01
02;14;02;5;01;1;Kijowice;0872585;0872585;2026-01-01
02;22;02;2;01;1;Boraszyce Małe;0882508;0882508;2026-01-01
02;17;04;5;01;1;Kazanów;0880461;0880461;2026-01-01
02;08;06;5;01;1;Długopole-Zdrój;0851324;0851324;2026-01-01
02;08;06;5;01;1;Idzików;0851353;0851353;2026-01-01
02;08;06;5;01;1;Kamienna;0851360;0851360;2026-01-01
02;22;02;2;01;1;Konary;0882684;0882684;2026-01-01
02;22;02;2;01;1;Grzeszyn;0882649;0882649;2026-01-01
02;07;03;5;01;1;Szczepanów;0190561;0190561;2026-01-01
02;08;04;1;96;1;Nowa Ruda;0984278;0984278;2026-01-01
02;22;02;2;01;1;Słup;0882862;0882862;2026-01-01
02;22;02;2;01;1;Smogorzów Wielki;0882879;0882879;2026-01-01
02;22;02;2;01;1;Wińsko;0882939;0882939;2026-01-01
02;22;02;2;01;1;Wyszęcice;0882951;0882951;2026-01-01
02;22;03;5;01;1;Boraszyn;0883152;0883152;2026-01-01
02;22;03;5;01;1;Łazarzowice;0883270;0883270;2026-01-01
02;22;03;5;01;1;Moczydlnica Dworska;0883318;0883318;2026-01-01
02;22;03;5;01;1;Pierusza;0883382;0883382;2026-01-01
02;22;03;5;01;1;Stary Wołów;0883465;0883465;2026-01-01
02;22;03;5;01;1;Straszowice;0883502;0883502;2026-01-01
02;07;01;1;96;1;Kamienna Góra;0936026;0936026;2026-01-01
02;18;05;2;01;1;Łagiewniki Średzkie;0367930;0367930;2026-01-01
02;18;05;2;01;1;Piekary;0367953;0367953;2026-01-01
02;18;05;2;01;1;Ujazd Dolny;0368013;0368013;2026-01-01
02;08;09;2;01;1;Darnków;0853240;0853240;2026-01-01
02;16;04;5;01;1;Pieszkowice;0366570;0366570;2026-01-01
02;16;04;5;01;1;Trzebcz;0366630;0366630;2026-01-01
02;16;05;5;01;1;Jakubowo Lubińskie;0366793;0366793;2026-01-01
02;16;05;5;01;1;Krępa;0366830;0366830;2026-01-01
02;16;05;5;01;1;Wilkocin;0366907;0366907;2026-01-01
02;16;06;2;01;1;Kłębanowice;0366971;0366971;2026-01-01
02;04;04;5;01;1;Kamień Górowski;0377220;0377220;2026-01-01
02;04;04;5;01;1;Lechitów;0377265;0377265;2026-01-01
